id,external_id,name,category_slug,category,price,stock,material,merchandising_rank,updated_at
10000000-0000-4000-8000-000000000020,AW-008,Gallery Satin Blouse,atelier-women,Atelier Women,295,15,Liquid Satin,8,2026-04-08 02:18:00
10000000-0000-4000-8000-000000000021,AW-009,Quiet Wool Column Coat,atelier-women,Atelier Women,1180,6,Double-Faced Wool,9,2026-04-08 02:19:00
10000000-0000-4000-8000-000000000022,AW-010,Soft Structure Trouser,atelier-women,Atelier Women,365,13,Compact Viscose Twill,10,2026-04-08 02:20:00
10000000-0000-4000-8000-000000000023,AW-011,Moonstone Rib Tank,atelier-women,Atelier Women,180,18,Fine Rib Cotton,11,2026-04-08 02:21:00
10000000-0000-4000-8000-000000000024,AW-012,Atelier Bias Midi Skirt,atelier-women,Atelier Women,430,10,Washed Satin,12,2026-04-08 02:22:00
10000000-0000-4000-8000-000000000025,FW-001,Atelier Low Sneaker,footwear,Footwear,340,18,Smooth Italian Calfskin,1,2026-04-08 02:21:00
10000000-0000-4000-8000-000000000026,FW-002,Chelsea Field Boot,footwear,Footwear,495,11,Waxed Roughout Leather,2,2026-04-08 02:22:00
10000000-0000-4000-8000-000000000027,FW-003,Classic Penny Loafer,footwear,Footwear,420,12,Pebbled Grain Leather,3,2026-04-08 02:23:00
10000000-0000-4000-8000-000000000028,FW-004,Moc Toe Service Boot,footwear,Footwear,560,9,English Bridle Leather,4,2026-04-08 02:24:00
10000000-0000-4000-8000-000000000029,FW-005,Ridge Runner Hiker,footwear,Footwear,610,8,Stormwelt Bridle Leather,5,2026-04-08 02:25:00
10000000-0000-4000-8000-000000000030,FW-006,Polished Derby Loafer,footwear,Footwear,450,10,Polished Grain Leather,6,2026-04-08 02:26:00
10000000-0000-4000-8000-000000000031,FW-007,Slate Suede Desert Boot,footwear,Footwear,470,10,Premium Suede,7,2026-04-08 02:27:00
10000000-0000-4000-8000-000000000032,FW-008,Court Leather Trainer,footwear,Footwear,360,16,Full-Grain Calfskin,8,2026-04-08 02:28:00
10000000-0000-4000-8000-000000000033,FW-009,Artisan Monk Strap,footwear,Footwear,530,7,Hand-Burnished Grain Leather,9,2026-04-08 02:29:00
10000000-0000-4000-8000-000000000034,FW-010,Pebble Driving Loafer,footwear,Footwear,390,12,Pebbled Grain Leather,10,2026-04-08 02:30:00
10000000-0000-4000-8000-000000000035,FW-011,Harbor Fisher Sandal,footwear,Footwear,310,14,Matte Calfskin,11,2026-04-08 02:31:00
10000000-0000-4000-8000-000000000036,FW-012,Iron Commute Boot,footwear,Footwear,580,8,Weatherproof Bridle Leather,12,2026-04-08 02:32:00
10000000-0000-4000-8000-000000000037,AC-001,Atelier Tote,accessories,Accessories,840,9,Vegetable Tanned Leather,1,2026-04-08 02:31:00
10000000-0000-4000-8000-000000000038,AC-002,Aurora Wrap,accessories,Accessories,215,18,Organic Raw Silk,2,2026-04-08 02:32:00
10000000-0000-4000-8000-000000000039,AC-003,Cintura Belt,accessories,Accessories,165,20,Full Grain Saddle Leather,3,2026-04-08 02:33:00
10000000-0000-4000-8000-000000000040,AC-004,Vault Clutch,accessories,Accessories,420,10,Nappa Leather,4,2026-04-08 02:34:00
10000000-0000-4000-8000-000000000041,AC-005,Obsidian Band,accessories,Accessories,310,12,925 Sterling Silver,5,2026-04-08 02:35:00
10000000-0000-4000-8000-000000000042,AC-006,Mist Scarf,accessories,Accessories,190,16,Cashmere Blend,6,2026-04-08 02:36:00
10000000-0000-4000-8000-000000000043,AC-007,Meridian Weekender,accessories,Accessories,980,7,Vachetta Leather,7,2026-04-08 02:37:00
10000000-0000-4000-8000-000000000044,AC-008,Sculptor Card Holder,accessories,Accessories,145,15,Vachetta Leather,8,2026-04-08 02:38:00
10000000-0000-4000-8000-000000000045,AC-009,Studio Key Lanyard,accessories,Accessories,110,14,Bridle Leather,9,2026-04-08 02:39:00
10000000-0000-4000-8000-000000000046,AC-010,Veil Silk Neckerchief,accessories,Accessories,175,17,Printed Raw Silk,10,2026-04-08 02:40:00
10000000-0000-4000-8000-000000000047,AC-011,Hinge Cuff,accessories,Accessories,265,11,Sterling Silver,11,2026-04-08 02:41:00
10000000-0000-4000-8000-000000000048,AC-012,Atelier Bucket Pouch,accessories,Accessories,390,9,Nappa Leather,12,2026-04-08 02:42:00
